,0
0,-795.9592993009147
1,-780.0550140254804
2,-765.8797643920108
3,-756.276828997223
4,-749.1591415242642
5,-746.9249664792791
6,-739.2389543061006
7,-731.6057352418848
8,-722.5005321809192
9,-714.9987155785539
10,-708.9696430949951
11,-706.8322967434418
12,-704.676254791193
13,-691.4826878915231
14,-652.0376938469069
15,-630.5907265727599
16,-638.7182544462149
17,-642.9986961494864
18,-635.371224893891
19,-621.6340967743632
20,-615.43544953631
21,-605.9464668357058
22,-597.9956774441252
23,-599.243911433767
24,-576.9567562628825
25,-530.277734348683
26,-526.7768381743929
27,-552.4621343830985
28,-566.8116379991982
29,-571.4418491165169
30,-576.5260685661324
31,-576.8632650864221
32,-574.5267774488375
33,-566.7469872984626
34,-553.2390619803288
35,-544.8400101580064
36,-548.1068359119477
37,-553.3041531786901
38,-553.3556320611331
39,-545.7434710132358
40,-538.933613754152
41,-538.1140412712099
42,-537.3579166963883
43,-517.0142002934094
44,-473.7060763179013
45,-462.70013918888577
46,-482.90620253351955
47,-503.2475473978465
48,-510.3454946199381
49,-507.76531489014917
50,-508.0982271723736
51,-505.73055800399936
52,-504.9550202314244
53,-492.3554695607764
54,-479.7360007685569
55,-479.87384140707536
56,-487.3945284072955
57,-491.15874382472197
58,-493.01758414661407
59,-489.7845782931693
60,-484.9537534566591
61,-458.6568580146534
62,-419.54665450955713
63,-416.07947970684006
64,-436.2027856566748
65,-444.3252321910625
66,-452.3204665639542
67,-455.76691712608584
68,-452.90212936697753
69,-454.9044246391252
70,-458.61556202256895
71,-458.7132788424817
72,-449.8608551760027
73,-447.296244362482
74,-459.7442918399994
75,-461.49391499464156
76,-455.83626913590143
77,-453.65790975404866
78,-451.31154026966317
79,-424.7109978305906
80,-405.02656352283486
81,-415.35682145870163
82,-431.74027413196495
83,-433.52687080477153
84,-433.58484828171754
85,-434.9784861208087
86,-437.23618911562716
87,-437.51768690607463
88,-441.2150215097923
89,-438.9603845868501
90,-424.82934626700705
91,-409.4768077889303
92,-414.76617004263835
93,-429.7456929254092
94,-436.88075328063053
95,-436.8290237390609
96,-439.6562229000551
97,-443.7039249401893
98,-446.1895432617023
99,-428.0657534020613
100,-402.0231517595302
101,-403.00389727604136
102,-424.04655296704135
103,-433.1074827704447
104,-437.30708498358575
