,0
0,1.1835223782035078e-06
1,3.1957910110902218e-06
2,1.4106598525323775e-06
3,1.3978434322199615e-06
4,3.422846230097432e-06
5,1.0477919679886057e-05
6,9.469512775084282e-06
7,1.2258394740460854e-05
8,1.1367904797069658e-05
9,1.9304187173037286e-05
10,1.757192326803246e-05
11,5.546745564411821e-05
12,5.64873915642505e-05
13,3.5882541253237955e-05
14,5.830428786343846e-05
15,7.033844165243303e-05
16,0.00011391244833578922
17,8.208365469350489e-05
18,9.562326172782578e-05
19,0.00011967327255563384
20,0.0001936830939650331
21,0.00016287545194356044
22,0.00019403977249348315
23,0.00020005618198768477
24,0.00011124888284439015
25,0.00018121634668922287
26,0.00012925410457574512
27,0.0001986941720479914
28,0.00012870475601698515
29,8.770884010669247e-05
30,0.0001919067125648891
31,0.00020952235627738882
32,0.00025250322003562075
33,0.00012081372797222454
34,6.454911248437932e-05
35,0.00014670411840018996
36,0.00013360440885938992
37,0.00020328902484974726
38,0.0001450674460471532
39,7.373528258093017e-05
40,8.310972985634625e-05
41,0.00011528943582787353
42,0.00012899700817005494
43,0.0001792223798887052
44,9.872984555518222e-05
45,6.109687959890544e-05
46,8.80725225272378e-05
47,0.00015452456954773294
48,0.00011241187497722933
49,9.593847473646572e-05
50,0.0001375898507225635
51,0.00011300775771221994
52,8.287540805981739e-05
53,0.00010298113103342419
54,0.0001651800754639843
55,4.7364528398507535e-05
56,3.206296804970313e-05
57,3.976424701955835e-05
58,5.385719180447962e-05
59,9.694696995944104e-05
60,7.962030163157222e-05
61,4.07449175088259e-05
62,6.282606441945711e-05
63,0.00011208242096641589
64,5.959881254772163e-05
65,3.628010465465534e-05
66,3.206728461746706e-05
67,3.672043570620411e-05
68,7.402850608585203e-05
69,0.00010466567699671528
70,8.789124388025417e-05
71,7.622311764101719e-05
72,2.7490276793214135e-05
73,6.882204390715624e-05
74,0.0001102943312243526
75,0.00011454698031682572
76,6.147217098359294e-05
77,3.750164562072203e-05
78,2.8632725693234633e-05
79,0.00014310378470350367
80,0.0001936553503616751
81,6.451521458720604e-05
82,6.981947068006939e-05
83,7.18860690257253e-05
84,2.5043416079681618e-05
85,0.0001240907795789206
86,0.00025985237612027087
87,5.755778432018403e-05
88,2.3139976556711327e-05
89,0.00011371923677938669
90,9.94097596075929e-05
91,8.600511155645208e-05
92,8.52715870265054e-05
93,4.834735388537261e-05
94,2.2018632924512356e-05
95,4.001699612054057e-05
96,5.636096990740154e-05
97,8.800536629388431e-05
98,3.4615402612654864e-05
99,2.006173164085082e-05
100,5.523218343859806e-05
101,0.00010273990544006333
102,5.250565856977867e-05
103,1.90544840511216e-05
104,8.686123546533814e-06
105,3.0053111361771403e-05
106,5.8369159854548336e-05
107,7.913258052265518e-05
108,6.450657990041973e-05
109,2.476054050257979e-05
110,4.763154943026502e-05
111,5.0184753330860345e-05
112,6.744094954938686e-05
113,5.511174011598786e-05
114,2.5379950625807217e-05
115,2.1667894960352068e-05
116,4.465979438720296e-05
117,6.274498190232032e-05
118,7.344159580485599e-05
119,2.1648431587302904e-05
120,2.6999964631373718e-05
121,5.4975732809168444e-05
122,8.723397350821242e-05
123,6.735199069358809e-05
124,4.541933315002659e-05
125,5.735204047109224e-05
126,2.9183737597354876e-05
127,4.752556784289152e-05
128,6.939299577634795e-05
129,5.7222909270149885e-05
130,5.8713511292455475e-06
131,3.0306881596300716e-05
132,9.141419464769244e-05
133,9.797359564858542e-05
134,4.500314294139443e-05
135,1.701173604159418e-05
136,4.611998869770418e-05
137,5.685543519098047e-05
138,5.32039069243615e-05
139,4.225775026598692e-05
140,1.8184206910803714e-05
141,2.4250647064073868e-05
142,2.1879834711028482e-05
143,1.7136669641345802e-05
144,6.517506791329855e-05
145,8.231681383049188e-05
146,2.678246398777467e-05
147,2.5421358764071087e-05
148,0.00010749022046672208
149,0.00010273689183663674
150,5.72028549671363e-05
151,1.6457368548003512e-05
152,2.3147545363211422e-05
153,2.5106898248041787e-05
154,7.168938149475451e-05
155,6.470978077840316e-05
156,1.698766753083795e-05
157,1.1605755672575279e-05
158,2.0832638790503535e-05
159,3.98274831900514e-05
160,2.9287622527784895e-05
161,1.4964618224245717e-05
162,1.5816926257699656e-05
163,2.865778481188124e-05
164,6.959244872328433e-05
165,0.00014404206906743698
166,4.0854261294304436e-05
167,5.161404007145352e-05
168,3.815161649760163e-05
169,6.52456965011442e-05
170,0.00014868117960023107
171,7.120200248952658e-05
172,3.3393379139701e-05
173,1.3421369272673316e-05
174,2.0286427571561865e-05
175,4.073744368118102e-05
176,2.7657835925596165e-05
177,2.6034225250825237e-05
178,5.986726084423972e-05
179,6.138954405311673e-05
180,2.672814934925738e-05
181,4.8924959430712355e-05
182,3.910852535179124e-05
183,3.214666364419354e-05
184,7.494164436067921e-05
185,0.00014949979529820556
186,0.00011644526897061741
187,0.0002872555683310073
188,0.00011747033954263599
189,2.501453814151853e-05
190,9.266026649786032e-06
191,3.617256815812886e-05
192,0.00019486756349806382
193,0.00024390935174800247
194,0.00028416875628813114
195,0.00013383164696788546
196,0.00012724675544447327
197,8.642353656304726e-05
198,7.610178807356598e-05
199,6.200595417821273e-05
200,3.3644562321842476e-05
201,2.102295736076018e-05
202,3.317973055123278e-05
203,3.169753359892063e-05
204,2.4832807458169794e-05
205,1.535969351200652e-05
206,3.467671330123645e-05
207,5.383414331490015e-05
208,8.387049329793097e-05
209,7.998484940029054e-05
210,3.28780801605733e-05
211,9.485927340707318e-06
212,1.0810585872225688e-05
213,3.302159825136548e-05
214,1.4345920127278526e-05
215,4.854866323882284e-05
216,7.69339834924854e-05
217,4.890668028716139e-05
218,1.5212910029586926e-05
219,7.375947659218784e-05
220,6.884963348833047e-05
221,1.796684545662778e-05
222,4.459235659585944e-05
223,0.00012707225853018697
224,3.6466501264873366e-05
225,1.1386842690045525e-05
226,9.406025652625778e-06
227,5.161384683835468e-05
228,3.909893932310104e-05
229,4.183302193830068e-05
230,0.00010522469853785012
231,0.00012470537570371886
232,5.378930906021671e-05
233,4.589051842905834e-05
234,4.009307943164555e-05
235,1.2988042326618816e-05
236,1.662362381493195e-05
237,1.9278651209832184e-05
238,3.7059616613951155e-05
239,4.221934841238169e-05
240,4.223001469282985e-05
241,4.199495330235057e-05
242,2.7308589309055544e-05
243,1.718456254215005e-05
244,1.6453249534576114e-05
245,3.2394739797472484e-05
246,7.145558116626725e-05
247,0.0001396482422581771
248,6.535882014157818e-05
249,1.4237596681718709e-05
250,1.6882384565399912e-05
251,2.166172850101298e-05
252,2.1213202830760253e-05
253,1.481932338435099e-05
254,1.609030024305161e-05
255,1.8771505168020442e-05
256,3.933563133755823e-05
257,0.00017086717511771696
258,0.00012822490619322744
259,6.66668370499429e-05
260,5.089229201490719e-05
261,7.846496167890285e-05
262,2.8927407601486986e-05
263,1.4133100817559022e-05
264,2.1995699190435206e-05
265,8.013145356012718e-05
266,5.6226061829668853e-05
267,1.657172460008075e-05
268,3.54609078405039e-05
269,3.9114512483595815e-05
270,5.513459950807055e-05
271,8.565465311879734e-05
272,4.465518080180218e-05
273,2.9224854739192957e-05
274,1.718877389893046e-05
275,9.557612182081552e-06
276,8.279889851601729e-05
277,6.846793938545306e-05
278,1.505408368970928e-05
279,2.8997275945970806e-06
280,5.955951940219563e-06
281,3.931892977198036e-05
282,2.558694640328436e-05
283,5.0872941145001155e-05
284,4.345680125356671e-05
285,9.42549207010437e-06
286,2.5488489486877474e-05
287,3.477020738649971e-05
288,6.187928803513534e-06
289,2.558304592523555e-06
290,1.4250372460652783e-05
291,1.7858780559501885e-05
292,1.091646827502074e-05
293,2.1063904723527416e-05
294,2.4060163264142948e-05
295,5.806441043881963e-06
296,1.1874910269847037e-05
297,3.04619321457761e-05
298,3.6367333448046063e-05
299,3.252887589168579e-05
300,0.00010637652909859287
301,0.00012415317513401124
302,5.842344089322537e-05
303,3.390990329169772e-05
304,6.915436185406963e-05
305,4.161949513929454e-05
306,6.6249922281965585e-06
307,1.8468708718503138e-05
308,5.6266127160357744e-05
309,3.441810895077595e-05
310,1.3920592713409061e-05
311,7.944679488284197e-06
312,1.4034428297361227e-05
313,1.9616957004471905e-05
314,5.1075317532824776e-05
315,2.3437164467409306e-05
316,9.69151085096289e-06
317,3.0237936976461397e-05
318,4.664981774525796e-05
319,5.7425550138020676e-05
320,3.407860427491399e-05
321,1.036553168409321e-05
322,2.1210964157578356e-05
323,8.895333668379826e-05
324,4.118815006241251e-05
325,2.9134233863942347e-05
326,6.756444065677302e-06
327,9.134660411026349e-06
328,2.476933170111652e-05
329,3.4261532565397126e-05
330,1.960830457026664e-05
331,4.612656851487548e-06
332,1.1662804920018699e-05
333,8.41147714345645e-06
334,9.27796069122815e-06
335,3.563683586719484e-05
336,3.476863182837046e-05
337,1.0547171106192238e-05
338,6.83449328159662e-06
339,1.9145028199838827e-05
340,2.8148499703850373e-05
341,4.592669608976427e-05
342,2.4482003962676694e-05
343,1.0331644198192945e-05
344,3.133211832178758e-05
345,2.0000173508449926e-05
346,1.7546222939848617e-05
347,7.608745433978763e-06
348,2.444804673274169e-05
349,2.2894182011303898e-05
350,2.5245007363221587e-05
351,5.106433500416272e-05
352,7.557667396397951e-05
353,3.849138541074233e-05
354,0.0001210102121897492
355,6.295283296379609e-05
356,1.728920514570155e-05
357,1.5488553104394826e-05
358,2.6813181259058546e-05
359,2.866364323764284e-05
360,1.5856289151825966e-05
361,2.304155367754025e-05
362,1.1027733542262234e-05
363,8.181779210352705e-06
364,2.9421598180863106e-06
365,8.170305473517387e-06
366,6.60329888649485e-05
367,7.455246316013214e-05
368,5.882777728149121e-05
369,3.840475692600329e-05
370,1.8461133973460128e-05
371,1.00669826561344e-05
372,2.8638364193933802e-05
373,1.745410175478341e-05
374,2.5318568841034115e-05
375,2.140976218698473e-05
376,8.58171582871217e-06
377,2.524381121643682e-05
378,4.307864631191176e-05
379,1.5702800030208347e-05
380,1.2771949954763137e-05
381,2.2996718701977365e-05
382,2.5074515143000445e-05
383,4.707839385167357e-05
384,5.1839146002468914e-05
385,2.7791472544091837e-05
386,2.0631594603620687e-05
387,1.0701466350990517e-05
388,4.5235057914963484e-05
389,0.00013113486775045546
390,7.821066829120175e-05
391,1.1071720050534196e-05
392,4.8152527435307176e-05
393,4.8536683223028375e-05
394,5.185089265216802e-05
395,9.404854605244407e-05
396,6.245742845962309e-05
397,2.836435024881578e-05
398,4.6501024857057616e-05
399,3.0585728575806896e-05
400,1.6231263994131315e-05
401,1.6280298937512778e-05
402,1.006512897250216e-05
403,5.829048673086761e-05
404,6.351182029105296e-05
405,4.73033663573089e-05
406,4.7939771893691505e-05
407,3.4926504929463384e-05
408,1.4987632878911326e-05
409,2.2314161537721066e-05
410,1.1015164620681553e-05
411,1.5478251457099893e-05
412,4.528041498092072e-05
413,7.279169241782611e-05
414,4.359762360643168e-05
415,4.006693068644013e-06
416,7.725522354868386e-06
417,1.7601066036341746e-05
418,1.5272513465656124e-05
419,2.256290868628743e-05
420,5.24947215438233e-05
421,2.791331601035905e-05
422,1.3755628954718361e-05
423,1.881982678856159e-05
424,2.4548880570102752e-05
425,1.9077701511514487e-05
426,1.6447362642736522e-05
427,2.917140975316013e-06
428,3.970590040945887e-07
429,2.3906344805433635e-07
430,1.2610641583832826e-07
431,1.475137666454485e-06
432,4.554725409143468e-06
433,2.225713634354925e-06
434,8.691474786639344e-06
435,5.938669474143218e-05
436,0.00015491216148547622
437,0.00015200086058801248
438,7.033616780433775e-05
439,5.730470638784078e-05
440,0.0002562837789528264
441,0.0005459693396155003
442,0.0007994836229290207
443,0.00047071125891285943
444,0.00014904625882323927
445,0.00040699969798068286
446,0.0011018953433349387
447,0.0018829781462005115
448,0.0013951010007864089
449,0.000543584669542601
450,0.0006015890768656126
451,0.002466656589359855
452,0.003883434886684277
453,0.0035268746390332215
454,0.0015092381176893682
455,0.00043846755127252974
456,0.0020102893448731662
457,0.003082258931386369
458,0.00255280930327201
459,0.0014622992304080939
460,0.00042406447760879966
461,0.001090035104164442
462,0.0029974068805164616
463,0.0030563090872281914
464,0.0014898746815932332
465,0.0002638007587222455
466,0.0005018452770253057
467,0.00207267348506619
468,0.00325362507692175
469,0.00233752522030139
470,0.0008261958099219997
471,0.0003304251093880191
472,0.001303844881235442
473,0.0023578655812706278
474,0.002609421753964282
475,0.0011701761185264872
476,0.0002541895297662031
477,0.0010935487953886614
478,0.0021960328961056273
479,0.0023328890573014456
480,0.0016723974110764831
481,0.0005708380000107617
482,0.0003060385342398087
483,0.001294593264683662
484,0.002418225919128202
485,0.0027345069741723507
486,0.0011119347382810346
487,0.00024230464851843024
488,0.0007091159934625797
489,0.0015316866805637054
490,0.0022144133262064114
491,0.0016172403362847124
492,0.0004101952756572268
493,0.00048800624932484433
494,0.001247261541914531
495,0.001415483650047137
496,0.0007433061775525694
497,0.0001476499438917425
498,0.0003139571915930591
499,0.001307270555218268
500,0.002229202184533857
501,0.001796112096527169
502,0.0006814766128907487
503,0.00019649411952606674
504,0.0010331174697852464
505,0.0024610027182671657
506,0.001902841235294911
507,0.0005504103131145492
508,0.00018955347953856857
509,0.0007022669757991911
510,0.0022450348491086757
511,0.0026990430614913558
512,0.0014734098580287515
513,0.0003894509089807168
514,0.00032968007331685313
515,0.0009919964390813277
516,0.0023203303904750184
517,0.002116425171462954
518,0.0004701501593482848
519,0.00011155660418764504
520,0.000750870414291005
521,0.001361264274537833
522,0.0015133530013016084
523,0.0009131131632292558
524,0.00020132846518697859
525,0.00039759221464287677
526,0.0014203179803335885
527,0.0017690386483919507
528,0.0012452276280832599
529,0.0004522078779549237
530,0.00021105625748401576
531,0.0007136439073769715
532,0.0016351953014352896
533,0.001162273288012788
534,0.0002846690438253676
535,9.440051162996228e-05
536,0.0004955856478313964
537,0.001336390486805189
538,0.0017330929908250807
539,0.0008626390188135571
540,0.00013494107288769414
541,0.00031983101203500317
542,0.001187399629196633
543,0.001900206697619268
544,0.0015124840647596555
545,0.0004359578045167094
546,0.00036861991546359847
547,0.0011276895020224274
548,0.0016642751182228503
549,0.0013686967794751268
550,0.0005257020579321071
551,0.00025504332454859383
552,0.000976090951075055
553,0.0018898591336719251
554,0.0018471666150238748
555,0.0009352894375018275
556,0.00031250774755475725
557,0.000636990203169738
558,0.0011956726807189186
559,0.0011620369604811744
560,0.0006970451106360963
561,0.00033745040112993476
562,0.000743176958243258
563,0.001029215183816682
564,0.0009462922779883823
565,0.0009047029276380457
566,0.0006981669632559064
567,0.0004463149998255495
568,0.0012786687513207974
569,0.0018526196463220608
570,0.0013757490098623777
571,0.0006329402963531649
572,0.0005696269105753719
573,0.0006543412217511252
574,0.0010162723268295252
575,0.0018024445488243285
576,0.0014538484905886105
577,0.00044543536048190354
578,0.00019789663265687465
579,0.0009312467102306746
580,0.0016109656348070463
581,0.0010911057758166943
582,0.00048275186944380283
583,0.0002030240303659413
584,0.0004741904038818556
585,0.001191505778661997
586,0.0012232929663163771
587,0.0006336667315156539
588,0.00022365522508264
589,0.0006184711475781697
590,0.0012401570568005026
591,0.0011706626944898073
592,0.0007589390880164822
593,0.00027955614896559423
594,0.0006365131848077114
595,0.001465793583245494
596,0.0016203499715672937
597,0.0009490204069708802
598,0.0006044235615569566
599,0.00040631709550286056
600,0.0008342187071918493
601,0.0016798437462258555
602,0.00124052696268359
603,0.0003389645707643629
604,0.00020487337076360192
605,0.0006790257693241893
606,0.0012942789823789502
607,0.0011842603043733997
608,0.0009905696663945031
609,0.0006326330407767067
610,0.0007117167575162862
611,0.000883808215818251
612,0.0009955172808619973
613,0.0007839994317852261
614,0.00038429320109277504
615,0.00011363295960045838
616,0.0007889282144345846
617,0.0015045650323815669
618,0.0009253080114565214
619,0.00027744131811765165
620,0.0001946630230777817
621,0.0001685505172148373
622,0.0005729684419289324
623,0.0011198970832553149
624,0.0005607661541964487
625,0.000354927745548031
626,0.0003626362814312314
627,0.0009358277550514292
628,0.0014930246173854218
629,0.001125171473738298
630,0.0006543028097295318
631,0.0006924392047495613
632,0.0007077108324960996
633,0.0009112882747567031
634,0.0010185963385574974
635,0.0005391442313372912
636,0.00042656154345900604
637,0.0009297154298697728
638,0.0007099483979629356
639,0.0005890426995194951
640,0.0013089506322210298
641,0.0008525192135521654
642,0.0008040712703967586
643,0.0008919403445676116
644,0.0011712295912427756
645,0.001130044180149524
646,0.0009270171792468224
647,0.0004890320104558404
648,0.000709689010533468
649,0.0007689958540406642
650,0.001112254143396763
651,0.0007758610523324183
652,0.00022371045932713694
653,0.000346422322859201
654,0.0007524987164672704
655,0.0010950018498999982
656,0.0006071464950118379
657,0.0004098987595582723
658,0.0010575773280681398
659,0.0019021113509232847
660,0.0018153686689423457
661,0.0013334367139876458
662,0.000537144816835464
663,0.00025928577807320184
664,0.0004213764003590558
665,0.0007491110764748928
666,0.0005949251876431704
667,0.00040510947713435775
668,0.00023757438273091545
669,0.0005999067390583813
670,0.0009715887042683603
671,0.0008065109803580856
672,0.0004481270778124431
673,0.00033586101727463893
674,0.0004467684720090167
675,0.0009166824858274405
676,0.0012420406385597765
677,0.000779426108382256
678,0.00038429552286365113
679,0.00012689442162713705
680,0.00023505382754997013
681,0.0005043857324461658
682,0.0008247882931580742
683,0.0008449515994271127
684,0.0005723204497538076
685,0.00037132650392773206
686,0.0005969440637594562
687,0.0013101104482238844
688,0.002212238852919853
689,0.0018555697744439305
690,0.0011095605248362037
691,0.0007114768210782947
692,0.0009137214589532169
693,0.00035258202011468763
694,0.00020677295606053782
695,0.00020150577784018431
696,0.0008023482411939168
697,0.0010058391272746558
698,0.0008296137816758513
699,0.0006015927316866967
700,0.00015087298764391565
701,0.0005808546973372153
702,0.001164997435044611
703,0.0008833638574039124
704,0.00041403921745146937
705,0.0005494941121860662
706,0.0007792346639584538
707,0.0015952371094276074
708,0.001613229698439556
709,0.0006607548063025359
710,0.00044711786799898873
711,0.00048187625848001957
712,0.0007661637285848164
713,0.0008560626500849844
714,0.0008264447092431269
715,0.0005747473089467547
716,0.00045215859243812355
717,0.0007282325021810583
718,0.0008116073768138358
719,0.00048296543836564226
720,0.0003912654670507762
721,0.00069865633500933
722,0.0009345805686196584
723,0.0007545209631871076
724,0.0007008305180606449
725,0.0005929112710290085
726,0.0004271742540346159
727,0.0007643730044539484
728,0.001276780770256021
729,0.0010954780862582095
730,0.000734154792139894
731,0.0005441318371859334
732,0.00046494568571349204
733,0.0007095363580660787
734,0.0008635759623235472
735,0.0009503216003959958
736,0.0008853833730163936
737,0.0005049094094621
738,0.0005573742283117377
739,0.000962360947283887
740,0.0008145040816159724
741,0.0004897208024610609
742,0.0005416996466827807
743,0.0007361254278907784
744,0.0006666411766795997
745,0.0009752459887948422
746,0.0006541635318348433
747,0.0003408089562443951
748,0.0005226123739907367
749,0.0011504255572334276
750,0.0010659941329863069
751,0.0007024969959927408
752,0.000615217214372452
753,0.0008029159162722254
754,0.000953649921386134
755,0.0008500860620449528
756,0.0009722551432704157
757,0.0006004628179230847
758,0.0005379887548490846
759,0.0009806220250199588
760,0.0009679932077317722
761,0.0004649705212359802
762,0.0004300731050605698
763,0.0005576054333343082
764,0.0005174292226439417
765,0.0005151445462865299
766,0.0009270599303523174
767,0.0008648769986520173
768,0.00039795134987896707
769,0.00039096183769715264
770,0.0006244772543306267
771,0.0007298263475890293
772,0.0008289022215119267
773,0.0007086031224277273
774,0.00044257795332863076
775,0.0008615889313091965
776,0.0011277293644416115
777,0.000946131515565569
778,0.0007638822572932089
779,0.0012389483752611788
780,0.0014998179562246004
781,0.0013398879388475573
782,0.001111142200765989
783,0.00073778492635104
784,0.0004039208754508197
785,0.00016577670741351345
786,0.0007530597780271926
787,0.001164014778398615
788,0.0008201406857186038
789,0.0007702994427801144
790,0.0009252144615123202
791,0.0008830964259639798
792,0.000877118120146631
793,0.0006734150539495378
794,0.0004849717468273452
795,0.00043172629863083567
796,0.0006383785125765136
797,0.0009286679452744868
798,0.0006500994146066662
799,0.0005828317666462623
800,0.000631165098113484
801,0.0005224782336514948
802,0.0004952951096104388
803,0.0007279305888488255
804,0.0009706529920470342
805,0.0008372469678583576
806,0.0005837497935325
807,0.0005521968245444099
808,0.0008192845944079921
809,0.0011643530922770965
810,0.000929319569428222
811,0.0007208179002385919
812,0.00046557700463842143
813,0.0006022956406809735
814,0.00087287141856234
815,0.0006721816130085798
816,0.000573052782786671
817,0.0005299551322605146
818,0.0005605275404948747
819,0.0005831145680173986
820,0.0007701495262062226
821,0.0003949874773933415
822,0.00015326852285824853
823,0.0004066153447793949
824,0.0008615372394207762
825,0.000827765006188145
826,0.0006617407043749709
827,0.0004448621014906725
828,0.00039787445851315235
829,0.0008662310809415781
830,0.0009688069460853907
831,0.0006623354230429844
832,0.0005921636487097879
833,0.0005495403022582404
834,0.000768926926675151
835,0.0006131404350383974
836,0.00048498787732517034
837,0.0006481893257055467
838,0.0005580721804924692
839,0.00038075607325873664
840,0.0005008761448548892
841,0.0006591674784572786
842,0.0007406886200473728
843,0.0007940414955959233
844,0.0005220117093628161
845,0.0005835888749019589
846,0.000394176388415743
847,0.00030127998089661464
848,0.0003134026918510764
849,0.0002870819129269818
850,0.0001357929049807949
851,0.00028500363044504484
852,0.0004863000674195864
853,0.0003743216798211753
854,0.00017678910827680146
855,9.128278114651863e-05
856,4.887521206397426e-05
857,0.00011107867739455474
858,4.3695166797868636e-05
859,5.163363298721473e-06
860,3.738011837521708e-06
861,1.3744942804863946e-06
862,1.6010927028172568e-06
863,1.4877384633700985e-05
864,2.035961328503823e-05
865,5.220017685948215e-05
866,8.65948955193143e-05
867,0.00014126894790511261
868,0.00016418736190804508
869,0.00015908083387846937
870,0.00018830761246953182
871,0.0003413457835067358
872,0.00046081132503568027
873,0.0004000248920315585
874,0.0003097381074923989
875,0.0002984129802249974
876,0.00021708776387816298
877,0.00042523494265269855
878,0.0008005098199307928
879,0.0011580311023137015
880,0.0010479577013944735
881,0.0006805566700972941
882,0.0017801706761497059
883,0.0025811515565000312
884,0.001989474410804622
885,0.0023293820555031234
886,0.0023927016556063436
887,0.0034277917174504466
888,0.002723880280624621
889,0.0028763112511122537
890,0.0022250265217993778
891,0.002108633370779093
892,0.00238764990727473
893,0.002689085834003256
894,0.004999431022833174
895,0.003443354577574426
896,0.001386954351165253
897,0.0015397779340816555
898,0.0018432075858460931
899,0.0013318202282370482
900,0.0010993142572890786
901,0.0007804073282035898
902,0.0007133265844553643
903,0.0006425423801539587
904,0.0008375348580981387
905,0.0010981221212088606
906,0.0006023553348866052
907,0.000358250587617326
908,0.0007504512226499343
909,0.0009237356358062799
910,0.002504133618946067
911,0.0019022257711022697
912,0.0005915364029192527
913,0.0005551955183895817
914,0.000915659025673321
915,0.0010520178815954572
916,0.0013407821007198554
917,0.0010513103590589535
918,0.0006857514040295
919,0.000698396900372366
920,0.0008698442313073473
921,0.0010367067430339264
922,0.0010911635642719055
923,0.0006760612970799292
924,0.0008067761362295256
925,0.0005920411875874666
926,0.0007785684059165229
927,0.0006204962727953663
928,0.00034386857388546416
929,0.00038524049492004306
930,0.0008204819636507708
931,0.0010447760040905398
932,0.000692427501471157
933,0.00040685446797047097
934,0.00026910439551057263
935,0.0004443663761474385
936,0.0010391635336649064
937,0.0009775038476571957
938,0.0003010092441721336
939,0.0002529556197391287
940,0.0004560013261545395
941,0.0009092100734307193
942,0.0009079029952298753
943,0.000586388544265228
944,0.0003487907254246455
945,0.00034701666216744545
946,0.0005182388428504625
947,0.0010535212446380303
948,0.0006643145462885614
949,0.00020359143854977374
950,0.00021907913704165407
951,0.00045714683698435397
952,0.0007848041053585315
953,0.0006272757164188627
954,0.0002749015080510539
955,0.0002528579049294905
956,0.00052724888687641
957,0.0009353377250686523
958,0.0006759879614049721
959,0.0003961567519449244
960,0.0002966300145773824
961,0.00029096680182495537
962,0.000383791662004962
963,0.0013126580461388707
964,0.0019232603322917913
965,0.0003542758873813095
966,0.00020494019082181855
967,0.00033479353066955176
968,0.000546675736118533
969,0.0007368418014968396
970,0.00037964535654894473
971,0.00010991029410245314
972,0.0002419424413426006
973,0.0004617701596289063
974,0.0006888600486483467
975,0.0007112871018706818
976,0.00029932090498738153
977,0.0002747341471422982
978,0.00047779837686582276
979,0.0005989017132185453
980,0.0005165653985347107
981,0.00034582245020538325
982,0.00027776328881782945
983,0.0003647007303345981
984,0.0005978071210213673
985,0.0006643999395797927
986,0.00041868097812840205
987,0.0004022785236695872
988,0.0005071198399036486
989,0.0005676631624568584
990,0.00045005902223951936
991,0.00031111774303161814
992,0.0005839592996360293
993,0.0039321714150881565
994,0.002394633221362267
995,0.0004947642769278305
996,0.0005342877136490659
997,0.0007120724748150803
998,0.00038248951504178235
999,0.0006568211864365306
1000,0.0007470941006781083
1001,0.0006398202767319328
1002,0.00044740607469575595
1003,0.00038728043607201014
1004,0.00032563181331850575
1005,0.0006771989346961824
1006,0.0007641454052402376
1007,0.00048512644394017347
1008,0.0011438659604029254
1009,0.002017046128482253
1010,0.0008557819455672427
1011,0.0005189024717034919
1012,0.0005361207705224965
1013,0.0003384858023332805
1014,0.0001621348816540897
1015,0.0003610819262298769
1016,0.0007612379059634144
1017,0.0005154018571680605
1018,0.00038099588632229927
1019,0.00015624764797821455
1020,0.00036222379371126756
1021,0.0005380866335244782
1022,0.00041341932354771075
1023,0.0004603225148225493
1024,0.00024662426606041396
1025,0.0003970443527045389
1026,0.0007318585303455971
1027,0.000568264803532934
1028,0.0005654262048379085
1029,0.0003330812978004204
1030,0.000259504810661417
1031,0.00043855220190607306
1032,0.0008649939470796167
1033,0.0006139825117602557
1034,0.0001407034743722652
1035,0.00016333059818139867
1036,0.0003879483468720346
1037,0.0005446798697647227
1038,0.000465605857259461
1039,0.0005563329381166824
1040,0.0006555574587163916
1041,0.0003466095081600411
1042,0.0004977198435136646
1043,0.00036219640617909027
1044,0.0004178328924072074
1045,0.00024111346280332785
1046,0.0006119468026855178
1047,0.0015403437558180768
1048,0.001414545960977827
1049,0.0005982027437932405
1050,0.00022612221817875446
1051,0.0001218887300969265
1052,0.00010478601355723229
1053,0.00027557064015625666
1054,0.0003426284360795012
1055,0.00021163509477588885
1056,0.00020495382819531207
1057,0.0003738885088814312
1058,0.0004073067233346285
1059,0.0007471417303244052
1060,0.0005631165070231081
1061,0.000613652092780086
1062,0.00042081730571176746
1063,0.0003629019551359035
1064,0.00034471454193963605
1065,0.0005796892482870734
1066,0.00031095927994634137
1067,0.00031135235204775996
1068,0.0005896868239277887
