Row,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Song9,Song10,Song11,Song12,Song13,Song14,Song15,Song16,Song17,Song18,Song19,Song20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100,0,100,100,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,30,97.0149,100,100,13.7313,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,100,100,0,8.0597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,100,40.2985,100,100,0,0,5.3731,4.1791,0,0,0,0,0,0,0,0,0,0,0,0
10,1.4925,36.7164,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,43.5821,0,96.4179,0,0,100,100,50,30,0,0,0,0,0,0,0,0,0,0
12,100,0,85.9702,18.209,100,100,100,100,97.6119,0,0,0,0,0,0,0,0,0,0,0
13,0,13.7313,100,100,100,90.4478,0,100,98.209,91.9403,18.209,100,0,0,0,0,0,0,0,0
14,13.1343,100,100,0,0,0,0,0,0,100,9.8507,4.1791,75.2239,0,0,0,0,0,0,0
15,0,0,0,100,0,0,0,50,0,0,100,50,85.9702,100,0,0,0,0,0,0
16,100,100,100,100,0,3.2836,0,100,0,0,0,100,29.2537,0,100,0,0,0,0,0
17,100,18.209,43.2836,0,2.9851,7.7612,100,0,100,39.7015,100,75.8209,0,92.8358,100,64.7761,0,0,0,0
18,100,100,0,100,0,100,0,0,100,81.791,100,100,0,9.5522,50,100,0,0,0,0
19,100,50,100,100,28.3582,100,95.8209,100,0,100,13.1343,100,5.9701,94.0299,100,100,40,100,0,0
20,0,100,59.7015,0,0.8955,0,100,100,100,0,3.2836,100,0,0,100,100,68.9552,100,100,0
