Row,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Song9,Song10,Song11,Song12,Song13,Song14,Song15,Song16,Song17,Song18,Song19,Song20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,66.1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,61.0778,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,58.3832,53.5928,65.2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,33.2335,58.982,32.6347,57.1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,63.7725,74.8503,31.7365,22.7545,30.2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,35.9281,61.6766,54.491,61.0778,60.1796,25.4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,70,14.3713,25.4491,50,19.1617,0,69.4611,0,0,0,0,0,0,0,0,0,0,0,0,0
9,60.1796,55.988,33.2335,36.2275,66.1677,81.1377,100,29.6407,0,0,0,0,0,0,0,0,0,0,0,0
10,67.6647,59.8802,63.7725,35.3293,0,67.9641,64.6707,75.7485,72.4551,0,0,0,0,0,0,0,0,0,0,0
11,0,65.8683,38.6228,27.5449,67.9641,58.0838,64.9701,50,58.0838,58.0838,0,0,0,0,0,0,0,0,0,0
12,29.6407,8.6826,50,52.6946,37.4252,59.8802,94.3114,43.1138,74.5509,91.9162,68.2635,0,0,0,0,0,0,0,0,0
13,37.4252,46.1078,29.6407,26.9461,73.0539,61.976,33.8323,8.6826,23.9521,61.6766,76.9461,34.4311,0,0,0,0,0,0,0,0
14,73.3533,27.8443,62.2755,74.5509,12.8743,13.4731,50,60.1796,25.1497,30,0,45.509,0,0,0,0,0,0,0,0
15,30.5389,10,50,82.0359,80,22.1557,35.9281,43.7126,30.2395,31.7365,0,28.1437,0,100,0,0,0,0,0,0
16,30.5389,23.6527,40.4192,85.9281,23.9521,0,29.3413,54.491,36.2275,32.3353,20.0599,37.4252,36.2275,0,63.7725,0,0,0,0,0
17,0,0,0,10.1796,0,0,0,7.485,10.1796,0,5.988,14.3713,17.9641,5.5689,0,7.485,0,0,0,0
18,39.2216,34.1317,68.5629,57.1856,63.7725,33.8323,39.2216,60.7784,65.8683,12.5749,55.0898,32.9341,50,55.988,91.018,63.7725,10,0,0,0
19,30.8383,31.7365,66.1677,68.2635,36.5269,72.4551,50,37.1257,100,67.3653,66.1677,92.515,16.1677,30,23.9521,12.5749,0,30,0,0
20,66.7665,85.0299,17.0659,64.3713,69.7605,81.4371,71.5569,34.4311,66.7665,67.3653,23.9521,59.8802,54.491,10.479,5.988,0,10.7784,2.3952,62.5749,0
