texture,consonance,rhythmic,familiarity,valence,excitement,liking,ornamentation,grooviness,tempo,pitch,timbre,sound_quality
59.5808,37.7976,23.2143,36.1194,50.2976,62.5,31.4371,69.3452,29.7619,48.3582,83.9286,72.3214,100
15.8683,61.9048,31.5476,9.8507,50,94.7024,85.6287,10.7143,22.2024,76.1194,50,50,34.5238
88.6228,46.131,9.8214,50,50,87.2024,50,74.1071,5.6548,50,71.131,35.4167,76.7857
20,50,74.4048,10,50,64.881,20,50,21.131,70,86.6071,84.8214,89.5833
11.976,28.869,19.6429,20.597,42.8571,80.6548,16.4671,0,74.7024,50,66.6667,20.8333,87.7976
77.8443,80.6548,100,80.597,57.7381,82.7381,64.6707,22.3214,72.0238,71.9403,50,50,89.5833
50,50,92.2619,50,80.9524,88.3929,91.9162,20.2381,58.9286,91.3433,50,50,51.7857
26.9461,20.2381,50,27.7612,50,75.8929,50,3.869,1.4881,28.9552,85.119,50,100
100,32.4405,66.6667,23.5821,49.4048,91.6667,17.9641,85.7143,50.8929,90.4478,75.2976,72.619,89.881
67.6647,75.5952,37.7976,28.3582,76.7857,68.1548,25.1497,100,84.2262,63.5821,58.631,65.1786,85.119
15.2695,74.1071,77.9762,50,67.8571,22.3214,75.4491,27.6786,66.369,19.1045,61.6071,81.25,50
82.0359,58.3333,92.2619,64.1791,83.9286,71.131,69.1617,83.0357,66.369,70.4478,73.2143,71.131,83.9286
57.7844,64.5833,83.3333,40,57.1429,63.3929,36.8263,19.0476,86.3095,80.597,50,50,86.3095
70.9581,14.5833,50,50,11.9048,80.6548,83.8323,22.0238,13.6905,78.209,84.5238,9.2262,97.619
26.3473,81.5476,23.2143,83.8806,30.0595,95.5357,87.7246,0,10.7143,50,100,2.6786,100
29.0419,9.2262,14.5833,16.1194,50,67.2619,50,32.4405,0,27.4627,23.5119,24.4048,94.3452
82.0359,22.3214,50,16.7164,16.6667,49.4048,11.3772,81.5476,0,69.2537,29.7619,18.4524,50
79.9401,93.75,76.4881,77.9105,87.2024,10.119,78.7425,50.5952,18.4524,64.4776,75,91.0714,85.119
19.7605,24.1071,75,14.6269,50,80.3571,81.7365,19.6429,77.0833,89.5522,47.9167,27.6786,25
71.8563,30.3571,80.6548,26.2687,33.0357,68.4524,33.5329,26.4881,50,61.791,33.631,50,77.9762
