texture,consonance,rhythmic,familiarity,valence,excitement,liking,ornamentation,grooviness,tempo,pitch,timbre,sound_quality
30,60,80,30,60,60,50,20,60,40,60,70,80
30,40,30,0,50,50,40,40,0,60,70,50,30
93.7126,93.4524,39.2857,100,61.6071,9.5238,97.6048,69.9405,77.6786,0,99.7024,60.4167,70.2381
0,58.631,10.4167,66.2687,46.131,46.131,49.4012,0,2.381,53.7313,85.4167,30,54.7619
20,50,40,20,30,50,50,10,30,20,30,40,20
60,60,70,0,60,50,51,40,90,30,50,80,30
70,60,100,0,60,60,50,20,50,30,40,70,20
60,80,90,40,20,30,50,90,20,20,80,20,90
80,30,60,50,80,88,50,70,60,60,70,100,30
90,80,50,60,50,30,50,90,10,40,50,50,50
20,40,50,20,50,50,40,49.1071,20,20,80,50,31.25
17.6647,75.8929,20.8333,62.3881,100,88.9881,84.4311,64.2857,68.1548,85.3731,77.381,100,26.1905
60,60,20,80,60,50,50,60,30,20,40,60,50
70,10,10,0,10,50,20,70,0,40,60,10,70
10,80,60,30,50,46,50,0,30,40,70,20,90
50,11,10,0,30,40,60,40,0,40,80,40,80
30,30,50,20,70,80,60,40,60,50,40,80,10
80,90,100,40,70,10,60,70,60,40,50,50,90
38.3234,14.881,33.3333,10.7463,62.2024,54.4643,39.521,35.119,39.881,37.6119,38.9881,62.2024,17.5595
8.0838,20,20,0,34.5238,50,50,50,50,30.1493,40,40,20
