,texture,consonance,rhythmic,familiarity,valence,excitement,liking,ornamentation,grooviness,tempo,pitch,timbre,sound_quality
texture,1.0,-0.0005553150684682013,-0.45360686934357897,-0.21430267761211846,0.08757182911806657,0.006105742826701962,-0.29211963232522975,0.6230226682166087,-0.07588510572910548,0.23414960873016177,0.4090298225612498,-0.32011771198141337,-0.27654198474628144
consonance,-0.0005553150684682013,1.0,0.21983781741091116,0.39949847851572745,0.0950135414009884,-0.4806863019170197,-0.20386307708693954,-0.014451765142004962,-0.38788324344549324,-0.23732974471234758,0.07535957701091384,0.16386961627123442,-0.20702463867005233
rhythmic,-0.45360686934357897,0.21983781741091116,1.0,0.1718410796177081,0.09217365479091053,-0.19432237585466888,-0.10029811248755235,-0.134859158882041,0.0026005774428191552,-0.10985255849234167,-0.28284366265245214,-0.08833596795663419,0.1160137849495893
familiarity,-0.21430267761211846,0.39949847851572745,0.1718410796177081,1.0,-0.1287938002406418,-0.14110590442991294,-0.17705744213511404,-0.015312375367972425,-0.2313210557858462,0.013904957744097293,-0.00014768286083639547,0.017953571354460136,0.47678001673888193
valence,0.08757182911806657,0.0950135414009884,0.09217365479091053,-0.1287938002406418,1.0,-0.19501847998891006,0.4555704054869667,0.39130913709583126,0.4657202049798807,-0.00581582240657084,-0.3527219529992206,0.32821957243200184,-0.4588292894650427
excitement,0.006105742826701962,-0.4806863019170197,-0.19432237585466888,-0.14110590442991294,-0.19501847998891006,1.0,0.28984498715280743,-0.27626629178078116,0.5404727063822611,0.17162894855101324,-0.2670126297277769,-0.07505399600494342,0.3479538964896124
liking,-0.29211963232522975,-0.20386307708693954,-0.10029811248755235,-0.17705744213511404,0.4555704054869667,0.28984498715280743,1.0,-0.24087617786472573,0.7234935270672518,-0.2672511411260567,-0.31467909493124396,0.42739228559046716,0.018219996108802802
ornamentation,0.6230226682166087,-0.014451765142004962,-0.134859158882041,-0.015312375367972425,0.39130913709583126,-0.27626629178078116,-0.24087617786472573,1.0,-0.08959882969388554,0.40686910642128465,0.08942150621369967,-0.004168601902283975,-0.33030714786190474
grooviness,-0.07588510572910548,-0.38788324344549324,0.0026005774428191552,-0.2313210557858462,0.4657202049798807,0.5404727063822611,0.7234935270672518,-0.08959882969388554,1.0,-0.11975661581176067,-0.4475072593374284,0.21807879685337736,-0.0032886575982388967
tempo,0.23414960873016177,-0.23732974471234758,-0.10985255849234167,0.013904957744097293,-0.00581582240657084,0.17162894855101324,-0.2672511411260567,0.40686910642128465,-0.11975661581176067,1.0,0.10891460025592581,-0.03857771775359838,-0.09285133097074269
pitch,0.4090298225612498,0.07535957701091384,-0.28284366265245214,-0.00014768286083639547,-0.3527219529992206,-0.2670126297277769,-0.31467909493124396,0.08942150621369967,-0.4475072593374284,0.10891460025592581,1.0,0.04994770422963211,0.18253202538999072
timbre,-0.32011771198141337,0.16386961627123442,-0.08833596795663419,0.017953571354460136,0.32821957243200184,-0.07505399600494342,0.42739228559046716,-0.004168601902283975,0.21807879685337736,-0.03857771775359838,0.04994770422963211,1.0,-0.02028429380378633
sound_quality,-0.27654198474628144,-0.20702463867005233,0.1160137849495893,0.47678001673888193,-0.4588292894650427,0.3479538964896124,0.018219996108802802,-0.33030714786190474,-0.0032886575982388967,-0.09285133097074269,0.18253202538999072,-0.02028429380378633,1.0
