,consonance,excitement,familiarity,grooviness,liking,ornamentation,pitch,rhythmic,sound_quality,tempo,texture,timbre,valence
consonance,1.0,-0.4036,0.5615,0.0805,0.2234,0.0639,0.1901,0.3396,0.0677,-0.1197,0.1081,0.2214,0.3305
excitement,-0.4036,1.0,-0.1672,0.2466,0.0755,-0.2377,-0.1234,-0.2042,-0.0719,0.3842,-0.1455,-0.0009,-0.0319
familiarity,0.5615,-0.1672,1.0,0.0004,0.319,0.075,0.2618,0.1224,0.3538,-0.0388,0.1289,0.0811,0.1838
grooviness,0.0805,0.2466,0.0004,1.0,0.414,-0.0073,-0.2635,0.3141,-0.146,0.0553,0.0372,0.3938,0.5243
liking,0.2234,0.0755,0.319,0.414,1.0,-0.1802,0.0647,0.0483,-0.0726,-0.069,-0.1181,0.2454,0.4091
ornamentation,0.0639,-0.2377,0.075,-0.0073,-0.1802,1.0,0.0821,-0.0298,-0.029,0.1635,0.6559,0.1736,0.2214
pitch,0.1901,-0.1234,0.2618,-0.2635,0.0647,0.0821,1.0,-0.1973,0.3873,0.0306,0.1312,0.0314,-0.1118
rhythmic,0.3396,-0.2042,0.1224,0.3141,0.0483,-0.0298,-0.1973,1.0,0.0336,0.0494,0.0411,0.1853,0.2315
sound_quality,0.0677,-0.0719,0.3538,-0.146,-0.0726,-0.029,0.3873,0.0336,1.0,-0.201,0.0772,-0.1735,-0.2923
tempo,-0.1197,0.3842,-0.0388,0.0553,-0.069,0.1635,0.0306,0.0494,-0.201,1.0,0.101,0.112,0.1595
texture,0.1081,-0.1455,0.1289,0.0372,-0.1181,0.6559,0.1312,0.0411,0.0772,0.101,1.0,0.0031,0.0671
timbre,0.2214,-0.0009,0.0811,0.3938,0.2454,0.1736,0.0314,0.1853,-0.1735,0.112,0.0031,1.0,0.6343
valence,0.3305,-0.0319,0.1838,0.5243,0.4091,0.2214,-0.1118,0.2315,-0.2923,0.1595,0.0671,0.6343,1.0
