Row,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Song9,Song10,Song11,Song12,Song13,Song14,Song15,Song16,Song17,Song18,Song19,Song20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,74.9254,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,63.2836,88.3582,57.3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,65.0746,71.9403,62.0896,68.0597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,68.9552,50,37.9104,38.806,28.3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,66.5672,29.8507,31.9403,50,45.6716,14.9254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,61.791,41.4925,23.5821,17.3134,76.1194,0,12.5373,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22.6866,68.0597,71.3433,43.2836,37.3134,29.8507,59.1045,72.2388,0,0,0,0,0,0,0,0,0,0,0,0
10,64.4776,69.8508,68.0597,51.0448,0,25.3731,39.7015,84.1791,32.2388,0,0,0,0,0,0,0,0,0,0,0
11,0,50,70.4478,24.4776,34.6269,70.1493,20.2985,59.403,11.0448,35.8209,0,0,0,0,0,0,0,0,0,0
12,13.1343,29.2537,62.9851,72.8358,33.7313,68.6567,75.8209,50,65.9701,69.5522,94.3284,0,0,0,0,0,0,0,0,0
13,20,33.1343,74.3284,81.4925,59.403,50,61.194,39.7015,11.9403,65.6716,50,50,0,0,0,0,0,0,0,0
14,77.6119,91.3433,100,54.6269,67.1642,100,50,10.7463,93.1343,90,0,67.7612,11.6418,0,0,0,0,0,0,0
15,98.209,0,50,14.3284,46.8657,23.5821,69.2537,6.8657,86.2687,80,0,27.1642,100,25.0746,0,0,0,0,0,0
16,33.1343,28.0597,71.0448,34.0299,65.3731,65.9701,64.1791,87.7612,65.9701,36.1194,70.7463,41.194,24.1791,0,21.194,0,0,0,0,0
17,82.0896,32.2388,100,80.2985,65.6716,90,0,62.3881,25.6716,0,34.3284,86.2687,31.0448,94.9254,100,82.9851,0,0,0,0
18,30,93.4328,72.5373,51.3433,66.2687,20,76.4179,20.8955,51.6418,88.9552,79.403,70.1493,50,26.2687,70,77.9105,100,0,0,0
19,57.9105,72.2388,42.6866,13.4328,23.5821,40,50,62.3881,69.7015,54.6269,35.8209,70.7463,18.209,24.4776,85.3731,76.1194,3.8806,80,0,0
20,76.7164,66.5672,22.6866,98.209,19.1045,85.0746,88.9552,50,30,18.806,50,32.2388,33.4328,23.2836,100,66.2687,4.7761,90,66.5672,0
