,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,100,66.1677,61.0778,58.3832,33.2335,63.7725,35.9281,70,60.1796,67.6647,0,29.6407,37.4252,73.3533,30.5389,30.5389,0,39.2216,30.8383,66
1,66.1677,100,30,53.5928,58.982,74.8503,61.6766,14.3713,55.988,59.8802,65.8683,8.6826,46.1078,27.8443,10,23.6527,0,34.1317,31.7365,85
2,61.0778,30,100,65.2695,32.6347,31.7365,54.49100000000001,25.4491,33.2335,63.7725,38.6228,50,29.6407,62.2755,50,40.4192,0,68.5629,66.1677,17
3,58.3832,53.5928,65.2695,100,57.1856,22.7545,61.0778,50,36.2275,35.3293,27.5449,52.6946,26.9461,74.5509,82.0359,85.9281,10.1796,57.1856,68.2635,64
4,33.2335,58.982,32.6347,57.1856,100,30.2395,60.1796,19.1617,66.1677,0,67.9641,37.4252,73.0539,12.8743,80,23.9521,0,63.7725,36.5269,69
5,63.7725,74.8503,31.7365,22.7545,30.2395,100,25.4491,0,81.1377,67.9641,58.0838,59.8802,61.976000000000006,13.4731,22.1557,0,0,33.8323,72.4551,81
6,35.9281,61.6766,54.49100000000001,61.0778,60.1796,25.4491,100,69.4611,100,64.6707,64.9701,94.3114,33.8323,50,35.9281,29.3413,0,39.2216,50,71
7,70,14.3713,25.4491,50,19.1617,0,69.4611,100,29.6407,75.7485,50,43.1138,8.6826,60.1796,43.7126,54.49100000000001,7.485,60.7784,37.1257,34
8,60.1796,55.988,33.2335,36.2275,66.1677,81.1377,100,29.6407,100,72.4551,58.0838,74.5509,23.9521,25.1497,30.2395,36.2275,10.1796,65.8683,100,66
9,67.6647,59.8802,63.7725,35.3293,0,67.9641,64.6707,75.7485,72.4551,100,58.0838,91.9162,61.6766,30,31.7365,32.3353,0,12.5749,67.3653,67
10,0,65.8683,38.6228,27.5449,67.9641,58.0838,64.9701,50,58.0838,58.0838,100,68.2635,76.9461,0,0,20.0599,5.9879999999999995,55.0898,66.1677,23
11,29.6407,8.6826,50,52.6946,37.4252,59.8802,94.3114,43.1138,74.5509,91.9162,68.2635,100,34.4311,45.50899999999999,28.1437,37.4252,14.3713,32.9341,92.515,59
12,37.4252,46.1078,29.6407,26.9461,73.0539,61.976000000000006,33.8323,8.6826,23.9521,61.6766,76.9461,34.4311,100,0,0,36.2275,17.9641,50,16.1677,54
13,73.3533,27.8443,62.2755,74.5509,12.8743,13.4731,50,60.1796,25.1497,30,0,45.50899999999999,0,100,100,0,5.5689,55.988,30,10
14,30.5389,10,50,82.0359,80,22.1557,35.9281,43.7126,30.2395,31.7365,0,28.1437,0,100,100,63.7725,0,91.01799999999999,23.9521,5
15,30.5389,23.6527,40.4192,85.9281,23.9521,0,29.3413,54.49100000000001,36.2275,32.3353,20.0599,37.4252,36.2275,0,63.7725,100,7.485,63.7725,12.5749,0
16,0,0,0,10.1796,0,0,0,7.485,10.1796,0,5.9879999999999995,14.3713,17.9641,5.5689,0,7.485,100,10,0,10
17,39.2216,34.1317,68.5629,57.1856,63.7725,33.8323,39.2216,60.7784,65.8683,12.5749,55.0898,32.9341,50,55.988,91.01799999999999,63.7725,10,100,30,2
18,30.8383,31.7365,66.1677,68.2635,36.5269,72.4551,50,37.1257,100,67.3653,66.1677,92.515,16.1677,30,23.9521,12.5749,0,30,100,62
19,66.7665,85.0299,17.0659,64.3713,69.7605,81.4371,71.5569,34.4311,66.7665,67.3653,23.9521,59.8802,54.49100000000001,10.479000000000001,5.9879999999999995,0,10.7784,2.3952,62.5749,100
