,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,100,2.9939999999999998,62.2755,0,0,60,29.6407,0,0,0,0,0,0,0,20,10,53,0,60,0
1,2,100,0,0,38.3234,0,0,0,0,0,60,60,75.1497,0,0,0,35.6287,0,70,7.1856
2,62,0,100,29.3413,0,0,65.5689,0,0,0,0,12.2754,0,0,0,0,60,0,0,0
3,20,0,29.3413,100,0,2.3952,0,0,0.5988,30,7.485,0,0,0,73.9521,0,0,0,0,0
4,70,38.3234,0,0,100,10,0,20,0,0,0,0,0,60,16.4671,0,0,10,0,0
5,60,91.6168,0,2.3952,10,100,0,2.0958,4.7904,30,0,74.8503,0,10,0,30,10,0,0,0
6,29,23.9521,65.5689,10,0,89.521,100,30,0,0,0,0,30,30,0,0,0,0,90,84.7305
7,0,40.4192,0,0,20,2.0958,30,100,0,0,60,58,60,0,80,0,0,90,20,5.6886
8,70,20,55,0.5988,70,4.7904,20,0,100,40,0,0,0,0,60,0,17.0659,0,0,0
9,80,80,20,30,0,30,53,70,40,100,52,0,0,0,30,0,70,0,59.8802,0
10,30,60,42.515,7.485,70,10,0,60,0,52,100,0,90,0,0,0,0,0,60,24.2515
11,0,60,12.2754,8.982000000000001,30,74.8503,71.8563,58,23.3533,30,0,100,48,10,0,0,0,0,0,80
12,55,75.1497,10,0,60,61,30,60,60,71.5569,90,48,100,0,0,0,0,0,0,0
13,70,0,36.2275,0,60,10,30,4.7904,33.8323,70,60,10,10,100,0,58.3832,0,48,0,0
14,20,0,0,73.9521,16.4671,0,0,80,60,30,0,0,10,40,100,55.988,43,90,0,60
15,10,0,1.4969999999999999,40,0,30,0,0,0,7.485,0,19.1617,0,58,55.988,100,10,0,13.7725,10
16,53,35.6287,60,0,25.7485,10,0,10,17.0659,70,60,80,40,0,43,10,100,0,0,60
17,40,23.3533,0,4.4910000000000005,10,0,0,90,0.49700000000000005,40,5.6886,0,9.2814,48,90,40,0,100,0,7.485
18,60,70,7.1856,60,10,30,90,20,0,59.8802,60,40,70,0,0,13.7725,60,0,100,90
19,0,7.1856,60,0,30,15.5689,84.7305,5.6886,0,82.3353,24.2515,80,70,10,60,10,60,7,90,100
