texture,consonance,rhythmic,familiarity,valence,excitement,liking,ornamentation,grooviness,tempo,pitch,timbre,sound_quality
75.7485,14.5833,14.881,80,26.1905,99.7024,65.2695,81.8452,14.881,65.9701,75.2976,80.3571,78.869
94.3114,73.2143,7.4405,80.8955,50,50.8929,15.5689,94.3452,2.381,62.6866,73.9286,37.2024,3.2738
100,100,0,100,65.7738,100,100,6.8452,88.6905,20.2985,97.9167,87.2024,72.9167
70.0599,75.5952,88.0952,25.6716,61.9048,74.7024,50,0.8929,9.8214,58.5075,88.0952,26.4881,10.4167
32.0359,50.8929,75.2976,70.1493,80.0595,73.5119,79.0419,27.0833,92.2619,24.1791,22.3214,86.9048,20.2381
0.8982,0.2976,84.8214,100,53.2738,86.9048,100,0,100,82.9851,85.7143,88.6905,84.5238
96.4072,17.5595,100,26.8657,73.8095,64.881,56.2874,100,97.9167,69.5522,86.9048,81.8452,38.3929
70,0,83.631,86.2687,0,95.8333,28.1437,0,0,64.4776,90.4762,0,77.9762
100,5.6548,15.1786,91.9403,77.9762,100,100,100,100,94.6269,50,25,31.25
100,0,100,53.7313,73.8095,96.131,71.8563,99.4048,94.6429,22.0896,72.9167,10.4167,68.75
80.5389,92.8571,86.3095,90.1493,93.1548,1.7857,80.5389,86.9048,19.6429,13.4328,84.8214,49.4048,21.131
93.7126,73.8095,100,100,80.9524,100,62.2755,100,100,74.3284,50,54.1667,8.9286
20.6587,31.5476,95.8333,92.2388,80.0595,89.2857,100,12.7976,100,25.9701,13.9881,29.1667,66.6667
95.2096,3.2738,1.7857,0,22.9167,88.3929,100,19.0476,95.5357,20.597,96.131,27.381,14.5833
82.0359,100,88.9881,99.7015,15.4762,73.5119,25.1497,69.3452,0,72.5373,84.8214,11.0119,73.8095
94.012,8.9286,16.9643,60,63.0952,50,35.9281,100,0,74.6269,93.75,29.1667,27.6786
99.4012,0,0.2976,0,100,100,100,100,92.8571,84.7761,80.9524,92.2619,16.9643
62.2755,100,100,85.6716,72.619,36.6071,77.2455,92.5595,0,72.8358,90.7738,91.6667,18.75
97.006,22.9167,71.131,16.4179,82.4405,93.1548,82.0359,71.131,94.3452,88.3582,23.2143,12.5,6.8452
6.5868,50,95.2381,34.3284,50,86.0119,97.006,8.9286,64.881,22.0896,29.7619,77.6786,30
