,texture,consonance,rhythmic,familiarity,valence,excitement,liking,ornamentation,grooviness,tempo,pitch,timbre,sound_quality
texture,1.0,0.24949929160533438,0.3507161279013074,0.2637495917793682,0.05314326724268712,-0.3830962636722695,0.15232813876581486,0.6700747003914511,0.1906192775173541,-0.30537535084042877,0.021594260798350452,0.1568416603504832,0.25564955896771063
consonance,0.24949929160533438,1.0,0.5001455665218338,0.6399865264280764,0.3179001615132094,-0.4373531076137553,0.5487795411079468,0.1523024650440603,0.3200291835949958,-0.16700648964476172,0.2553789458703902,0.05209413589619135,0.4135696374739902
rhythmic,0.3507161279013074,0.5001455665218338,1.0,-0.07318419821144191,0.20540618964086765,-0.1644271440198178,0.03949857512134949,0.06634675430343051,0.43102304430246546,-0.20575836895441713,-0.16166195583793072,0.18481003838725507,0.20085380091752877
familiarity,0.2637495917793682,0.6399865264280764,-0.07318419821144191,1.0,0.38761882333102327,-0.21153691269168298,0.6042672081611659,0.3129176069766449,0.1790552175275153,-0.08710644862671772,0.40625264767227737,0.1803343302938855,0.2679039980881729
valence,0.05314326724268712,0.3179001615132094,0.20540618964086765,0.38761882333102327,1.0,0.4241437319735058,0.5401346735774595,0.03287073777787402,0.6579773954574992,0.4600815660333754,0.006881913110722473,0.8703018296226925,-0.32445513454513236
excitement,-0.3830962636722695,-0.4373531076137553,-0.1644271440198178,-0.21153691269168298,0.4241437319735058,1.0,-0.12849878233928114,-0.22322212729527988,0.1822652531949956,0.6348317067066717,-0.20383550388311092,0.5805626954149162,-0.6098569565408174
liking,0.15232813876581486,0.5487795411079468,0.03949857512134949,0.6042672081611659,0.5401346735774595,-0.12849878233928114,1.0,0.1603198028835662,0.5644892610977081,-0.021876233048771846,0.38067004039757407,0.4410245084849427,0.07709038223557199
ornamentation,0.6700747003914511,0.1523024650440603,0.06634675430343051,0.3129176069766449,0.03287073777787402,-0.22322212729527988,0.1603198028835662,1.0,0.06345938526100811,-0.06679139000935894,0.15997040788476632,0.10480934469502416,0.15914253229343645
grooviness,0.1906192775173541,0.3200291835949958,0.43102304430246546,0.1790552175275153,0.6579773954574992,0.1822652531949956,0.5644892610977081,0.06345938526100811,1.0,-0.054587998515438774,-0.14980102721854444,0.7043242827065833,-0.2234649110220377
tempo,-0.30537535084042877,-0.16700648964476172,-0.20575836895441713,-0.08710644862671772,0.4600815660333754,0.6348317067066717,-0.021876233048771846,-0.06679139000935894,-0.054587998515438774,1.0,0.0755895381513965,0.3679379050255615,-0.20922803933481743
pitch,0.021594260798350452,0.2553789458703902,-0.16166195583793072,0.40625264767227737,0.006881913110722473,-0.20383550388311092,0.38067004039757407,0.15997040788476632,-0.14980102721854444,0.0755895381513965,1.0,-0.12248246756958586,0.4762532230162878
timbre,0.1568416603504832,0.05209413589619135,0.18481003838725507,0.1803343302938855,0.8703018296226925,0.5805626954149162,0.4410245084849427,0.10480934469502416,0.7043242827065833,0.3679379050255615,-0.12248246756958586,1.0,-0.5315923327256922
sound_quality,0.25564955896771063,0.4135696374739902,0.20085380091752877,0.2679039980881729,-0.32445513454513236,-0.6098569565408174,0.07709038223557199,0.15914253229343645,-0.2234649110220377,-0.20922803933481743,0.4762532230162878,-0.5315923327256922,1.0
